source,inventory_id,term_name,mapping,priority,confidence,reason_for_review
matrix,TTA-0976-002,리포지터리 URL,dcat:landingPage,primary,high,random_sample (분포 확인)
matrix,TTA-0976-015,데이터베이스 접근 유형,re3data:databaseAccessType,primary,high,random_sample (분포 확인)
matrix,TTA-0976-023,리포지터리 설명,dcterms:description,primary,high,random_sample (분포 확인)
matrix,TTA-0976-102,컬렉션 식별자,dcterms:identifier,primary,high,random_sample (분포 확인)
matrix,TTA-0976-105,제목 유형 (C),datacite:titleType,secondary,medium,random_sample (분포 확인)
matrix,TTA-0976-113,컬렉션 생성자,dcterms:creator,primary,high,random_sample (분포 확인)
matrix,TTA-0976-117,접근 유형 (C),re3data:dataAccessType,primary,high,random_sample (분포 확인)
matrix,TTA-0976-204,데이터셋 제목,dcterms:title,primary,high,random_sample (분포 확인)
matrix,TTA-0976-213,주제 체계 (D),re3data:subjectScheme,primary,high,random_sample (분포 확인)
matrix,TTA-0976-304,파일 제목,dcterms:title,primary,high,random_sample (분포 확인)
matrix,TTA-0976-326,파일 크기,dcterms:extent,primary,high,random_sample (분포 확인)
enum,TTA-0976-CV-005,free,re3data-cv:free,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-021,Funder,datacite-cv:Funder,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-044,Created (DatasetDateType),datacite-cv:Created,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-058,Tera Byte,"schema:unitText=""TB""",primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-068,Text,dctype:Text,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-076,Handle,datacite-cv:relatedIdentifierType:Handle,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-095,governmental,re3data-cv:type:governmental,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-103,sponsoring,re3data-cv:responsibilityType:sponsoring,primary,-,random_sample (분포 확인)
enum,TTA-0976-CV-110,yes (Versioning),re3data-cv:versioning:yes,primary,-,random_sample (분포 확인)
matrix,TTA-0976-009,주제 (R),dcterms:subject,secondary,medium,발견#4 SKOS Concept 4계층 (Repository Subject)
matrix,TTA-0976-022,품질관리 여부,re3data:qualityManagement,primary,high,발견#5 Boolean Activation Slot (QualityManagement)
matrix,TTA-0976-109,주제 (C),dcterms:subject,secondary,medium,발견#4 SKOS Concept 4계층 (Collection Subject)
matrix,TTA-0976-212,주제 (D),dcterms:subject,secondary,medium,발견#4 SKOS Concept 4계층 (Dataset Subject)
matrix,TTA-0976-314,주제 (F),dcterms:subject,secondary,medium,발견#4 SKOS Concept 4계층 (File Subject)
matrix,TTA-0976-323,수록 범위,dcterms:coverage,primary,medium,발견#1 Coverage dual-purpose (sh:or 처리)
matrix,TTA-0976-327,단위,schema:unitText,secondary,medium,발견#2 File Unit Rule 3 사례
enum,TTA-0976-CV-014,DFG,(external) DFG classification,primary,-,발견#4 SKOS Concept 관련 (DFG SubjectScheme)
enum,TTA-0976-CV-055,Byte,"schema:unitText=""B""",primary,-,발견#2 Rule 3 관련 (FileSizeUnitType Byte)
enum,TTA-0976-CV-091,yes (QualityManagement),re3data-cv:qualityManagement:yes,primary,-,발견#5 Boolean Slot 활성 트리거 (yes)
matrix,TTA-0976-001,리포지터리,dcat:Catalog,secondary,medium,matrix secondary/medium (확신 낮음)
matrix,TTA-0976-006,리포지터리 이름 유형,datacite:titleType,secondary,medium,matrix secondary/medium (확신 낮음)
matrix,TTA-0976-013,운영기관명,dcterms:title,primary,medium,matrix primary/medium (확신 낮음)
matrix,TTA-0976-014,운영기관 국가,re3data:institutionCountry,primary,medium,matrix primary/medium (확신 낮음)
matrix,TTA-0976-107,날짜 유형 (C),(custom enumeration / partial of datacite:dateType),secondary,medium,matrix secondary/medium (확신 낮음)
matrix,TTA-0976-114,컬렉션 연락처,dcat:contactPoint,primary,medium,matrix primary/medium (확신 낮음)
matrix,TTA-0976-205,제목 유형 (D),datacite:titleType,secondary,medium,matrix secondary/medium (확신 낮음)
matrix,TTA-0976-218,데이터셋 연락처,dcat:contactPoint,primary,medium,matrix primary/medium (확신 낮음)
matrix,TTA-0976-305,제목 유형 (F),datacite:titleType,secondary,medium,matrix secondary/medium (확신 낮음)
matrix,TTA-0976-318,파일 연락처,dcat:contactPoint,primary,medium,matrix primary/medium (확신 낮음)
enum,TTA-0976-CV-013,Deleted,schema:dateDeleted (closest),secondary,-,enum secondary (확신 낮음 또는 매핑 부재)
enum,TTA-0976-CV-054,unknown (EnhancedPublication),re3data-cv:enhancedPublication:unknown,secondary,-,enum secondary (확신 낮음 또는 매핑 부재)
enum,TTA-0976-CV-069,other (FileType),(none),none,-,enum none (확신 낮음 또는 매핑 부재)
enum,TTA-0976-CV-088,UCI,(none),none,-,enum none (확신 낮음 또는 매핑 부재)
enum,TTA-0976-CV-093,unknown (QualityManagement),re3data-cv:qualityManagement:unknown,secondary,-,enum secondary (확신 낮음 또는 매핑 부재)
enum,TTA-0976-CV-112,unknown (Versioning),re3data-cv:versioning:unknown,secondary,-,enum secondary (확신 낮음 또는 매핑 부재)
