inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-2001,Croissant,1.0,Class,FileObject,http://mlcommons.org/croissant/FileObject,cr:FileObject,sc:CreativeWork,,,unspecified,FileObject is the Croissant class used to represent individual files that are part of a dataset.,데이터셋의 개별 파일을 나타내는 Croissant 클래스.,distribution.url,"schema:DataDownload, schema:MediaObject",Inherits from sc:CreativeWork; can represent DigitalDocument/MediaObject,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#fileobject
INV-2002,Croissant,1.0,Class,FileSet,http://mlcommons.org/croissant/FileSet,cr:FileSet,sc:Intangible,,,unspecified,"In many datasets, data comes in the form of collections of homogeneous files, such as images, videos or text files, where each file needs to be treated as an individual item, e.g., as a training example. FileSet is a class that describes such collections of files.",동질적인 파일들의 모음(이미지·비디오·텍스트 등)을 표현하는 클래스.,distribution.url,,Extends sc:Intangible,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#fileset
INV-2003,Croissant,1.0,Class,RecordSet,http://mlcommons.org/croissant/RecordSet,cr:RecordSet,sc:Intangible,,,unspecified,"A RecordSet describes a set of structured records obtained from one or more data sources (typically a file or set of files) and the structure of these records, expressed as a set of fields (e.g., the columns of a table). A RecordSet can represent flat or nested data.","하나 이상의 데이터 소스에서 얻은 구조화된 레코드 집합과 그 구조(필드 모음)를 기술. 평면·중첩 데이터 모두 표현 가능.",structure.recordset,,Subclass of sc:Intangible,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#recordset
INV-2004,Croissant,1.0,Class,Field,http://mlcommons.org/croissant/Field,cr:Field,sc:Intangible,,,unspecified,"A Field is part of a RecordSet. It may represent a column of a table, or a nested data structure or even a nested RecordSet in the case of hierarchical data.",RecordSet의 일부. 테이블의 컬럼·중첩 구조·중첩 RecordSet을 표현 가능.,structure.field,,Subclass of sc:Intangible,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#field
INV-2005,Croissant,1.0,Class,DataSource,http://mlcommons.org/croissant/DataSource,cr:DataSource,sc:Intangible,,,unspecified,DataSource is the class describing the data that can be extracted from files to populate a RecordSet.,RecordSet을 채우기 위해 파일에서 추출할 수 있는 데이터를 기술하는 클래스.,structure.field,,Subclass of sc:Intangible,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#datasource
INV-2006,Croissant,1.0,Class,Extract,http://mlcommons.org/croissant/Extract,cr:Extract,,,,unspecified,"Sometimes, not all the data from the source is needed, but only a subset. The Extract class can be used to specify how to do that, depending on the type of the data.",소스에서 부분 데이터만 필요할 때 추출 방식을 지정하는 클래스.,uncategorized,,,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#extract
INV-2007,Croissant,1.0,Class,Transform,http://mlcommons.org/croissant/Transform,cr:Transform,,,,unspecified,Croissant supports a few simple transformations that can be applied on the source data.,소스 데이터에 적용할 수 있는 단순 변환들의 클래스.,uncategorized,,,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#transform
INV-2008,Croissant,1.0,Class,Format,http://mlcommons.org/croissant/Format,cr:Format,,,,unspecified,A format string used to parse the values coming from a DataSource.,DataSource에서 오는 값을 파싱하는 데 쓰이는 포맷 문자열.,distribution.media_type,,,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#format
INV-2009,Croissant,1.0,Class,BoundingBox,http://mlcommons.org/croissant/BoundingBox,cr:BoundingBox,,,,unspecified,Croissant defines the type cr:BoundingBox that interprets any 4-float array as a bounding box.,4-float 배열을 경계 박스로 해석하는 Croissant 타입.,ml.bounding_box,,Used as semantic dataType,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#boundingbox
INV-2010,Croissant,1.0,Class,SegmentationMask,http://mlcommons.org/croissant/SegmentationMask,cr:SegmentationMask,,,,unspecified,"Segmentation masks are common annotations in computer vision. They describe pixel-perfect zones that outline objects or groups of objects in images or videos. Croissant defines cr:SegmentationMask with two manners to describe them.",이미지·비디오에서 객체 영역을 픽셀 단위로 표시하는 분할 마스크 타입.,ml.bounding_box,,Used as semantic dataType; can be sc:GeoShape (polygon) or sc:ImageObject,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#segmentationmask
INV-2011,Croissant,1.0,Class,Split,http://mlcommons.org/croissant/Split,cr:Split,,,,unspecified,"ML datasets may come in different data splits, intended to be used for different steps of a model building.",ML 데이터셋의 데이터 분할을 표현하는 시맨틱 dataType 클래스.,ml.split,,"[CHECK] Spec describes via section intro rather than formal class definition. Used as dataType marker on RecordSet",https://docs.mlcommons.org/croissant/docs/croissant-spec.html#splits
INV-2012,Croissant,1.0,Enumeration,TrainingSplit,http://mlcommons.org/croissant/TrainingSplit,cr:TrainingSplit,cr:Split,,,unspecified,Identifies the training subset of a dataset (the split used to train ML models).,데이터셋의 학습 분할 (모델 학습용).,ml.split,,"[CHECK] Spec only shows in example data; no standalone formal definition. Definition synthesized from context",https://docs.mlcommons.org/croissant/docs/croissant-spec.html#splits
INV-2013,Croissant,1.0,Enumeration,ValidationSplit,http://mlcommons.org/croissant/ValidationSplit,cr:ValidationSplit,cr:Split,,,unspecified,Identifies the validation subset of a dataset (the split used to tune model hyperparameters).,데이터셋의 검증 분할 (하이퍼파라미터 튜닝용).,ml.split,,"[CHECK] Spec only shows in example data; no standalone formal definition",https://docs.mlcommons.org/croissant/docs/croissant-spec.html#splits
INV-2014,Croissant,1.0,Enumeration,TestSplit,http://mlcommons.org/croissant/TestSplit,cr:TestSplit,cr:Split,,,unspecified,Identifies the test subset of a dataset (the split used to evaluate the final model).,데이터셋의 테스트 분할 (최종 모델 평가용).,ml.split,,"[CHECK] Spec only shows in example data; no standalone formal definition",https://docs.mlcommons.org/croissant/docs/croissant-spec.html#splits
INV-2015,Croissant,1.0,Class,Label,http://mlcommons.org/croissant/Label,cr:Label,,,,unspecified,"Most ML workflows use label data. In Croissant, we identify label data using the class cr:Label. Labels will typically appear as fields in a RecordSet. The default semantics is that labels apply to the record they are defined in.",ML 워크플로우의 레이블 데이터를 식별하는 클래스. RecordSet의 필드로 출현.,ml.label,,Used as dataType marker,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#label-data
INV-2016,Croissant,1.0,Property,citeAs,http://mlcommons.org/croissant/citeAs,cr:citeAs,,sc:Dataset,sc:Text,0..1,"A citation to the dataset itself, or a citation for a publication that describes the dataset. Ideally, citations should be expressed using the bibtex format. Note that this is different from schema.org/citation, which is used to make a citation to another publication from this dataset.","데이터셋 자체 또는 데이터셋을 기술하는 출판물에 대한 인용. bibtex 형식 권장.",identification.identifier,"schema:citation",ONE cardinality per spec,https://docs.mlcommons.org/croissant/docs/croissant-spec.html#modified-and-added-properties
INV-2017,Croissant,1.0,Property,column,http://mlcommons.org/croissant/column,cr:column,,cr:Extract,sc:Text,0..1,A column name (used in Extract for CSV FileObject sources to extract values in the specified column).,추출할 CSV 컬럼 이름.,structure.field,,"Spec defines via Extract table; quoted text combined from column header 'A column name' + result description",https://docs.mlcommons.org/croissant/docs/croissant-spec.html#extract
