inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-4001,PROV-O,2013-04-30,Class,Entity,http://www.w3.org/ns/prov#Entity,prov:Entity,owl:Thing,,,unspecified,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.",물리적·디지털·개념적 등 어떤 종류의 사물로서 고정된 측면을 가진 대상.,uncategorized,"dcat:Resource (loose)",Starting-point class,https://www.w3.org/TR/prov-o/#Entity
INV-4002,PROV-O,2013-04-30,Class,Activity,http://www.w3.org/ns/prov#Activity,prov:Activity,owl:Thing,,,unspecified,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",일정 기간에 걸쳐 일어나며 개체에 작용하거나 개체와 함께 작용하는 사건.,provenance.activity,,Starting-point class,https://www.w3.org/TR/prov-o/#Activity
INV-4003,PROV-O,2013-04-30,Class,Agent,http://www.w3.org/ns/prov#Agent,prov:Agent,owl:Thing,,,unspecified,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity.",활동·개체의 존재·다른 행위자의 활동에 대해 책임을 지는 존재.,uncategorized,,Starting-point class. Subclasses: Person/Organization/SoftwareAgent,https://www.w3.org/TR/prov-o/#Agent
INV-4004,PROV-O,2013-04-30,Class,Collection,http://www.w3.org/ns/prov#Collection,prov:Collection,prov:Entity,,,unspecified,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections.",구성 개체들에 구조를 제공하는 개체. 구성 요소는 멤버로 칭함.,structure.recordset,,Expanded class,https://www.w3.org/TR/prov-o/#Collection
INV-4005,PROV-O,2013-04-30,Class,EmptyCollection,http://www.w3.org/ns/prov#EmptyCollection,prov:EmptyCollection,prov:Collection,,,unspecified,An empty collection is a collection without members.,멤버가 없는 빈 컬렉션.,structure.recordset,,Expanded class; also owl:NamedIndividual,https://www.w3.org/TR/prov-o/#EmptyCollection
INV-4006,PROV-O,2013-04-30,Class,Bundle,http://www.w3.org/ns/prov#Bundle,prov:Bundle,prov:Entity,,,unspecified,"A bundle is a named set of provenance descriptions, and is itself an Entity, so allowing provenance of provenance to be expressed.",프로비넌스 기술의 이름 있는 집합. 자체도 Entity이므로 프로비넌스의 프로비넌스 표현 가능.,structure.dataset,,Expanded class,https://www.w3.org/TR/prov-o/#Bundle
INV-4007,PROV-O,2013-04-30,Class,Plan,http://www.w3.org/ns/prov#Plan,prov:Plan,prov:Entity,,,unspecified,A plan is an entity that represents a set of actions or steps intended by one or more agents to achieve some goals.,하나 이상의 행위자가 목적 달성을 위해 의도한 행동·단계의 집합을 나타내는 개체.,uncategorized,,Expanded and qualified class,https://www.w3.org/TR/prov-o/#Plan
INV-4008,PROV-O,2013-04-30,Class,Person,http://www.w3.org/ns/prov#Person,prov:Person,prov:Agent,,,unspecified,Person agents are people.,사람 행위자.,uncategorized,"foaf:Person, schema:Person",Expanded class,https://www.w3.org/TR/prov-o/#Person
INV-4009,PROV-O,2013-04-30,Class,SoftwareAgent,http://www.w3.org/ns/prov#SoftwareAgent,prov:SoftwareAgent,prov:Agent,,,unspecified,A software agent is running software.,실행 중인 소프트웨어 행위자.,uncategorized,,Expanded class,https://www.w3.org/TR/prov-o/#SoftwareAgent
INV-4010,PROV-O,2013-04-30,Class,Organization,http://www.w3.org/ns/prov#Organization,prov:Organization,prov:Agent,,,unspecified,"An organization is a social or legal institution such as a company, society, etc.",기업·단체 등 사회적·법적 기관.,uncategorized,"foaf:Organization, schema:Organization",Expanded class,https://www.w3.org/TR/prov-o/#Organization
INV-4011,PROV-O,2013-04-30,Class,Location,http://www.w3.org/ns/prov#Location,prov:Location,owl:Thing,,,unspecified,"A location can be an identifiable geographic place (ISO 19112), but it can also be a non-geographic place such as a directory, row, or column. As such, there are numerous ways in which location can be expressed, such as by a coordinate, address, landmark, and so forth.",식별 가능한 지리적 장소 또는 디렉터리·행·열 등 비지리적 장소를 포함하는 위치.,spatial.location,,Expanded class,https://www.w3.org/TR/prov-o/#Location
