tta_inventory_id,tta_element_name_ko,tta_layer,tta_cardinality,c1_semantic,c2_data_model,c3_syntactic,c4_operational_semantic,c5_provenance,c6_quality,c7_access_constraint,mapping_priority,mapping_confidence,conflict_notes,decision_basis,reviewer_notes
TTA-0976-001,리포지터리,repository,O,dcat:Catalog,sh:NodeShape (Class container); SHACL 작성 시 dcat:Catalog 제약 import + hasCollection 관계 추가 필요,ttaap:Repository → dcat:Catalog,NA (general research data standard),NA,NA,NA,secondary,medium,"TTA Repository는 시스템·서비스 수준의 컨테이너 (R2-R21 포함). DCAT Catalog는 메타데이터 컬렉션. 4계층 구조 차이 — TTA 4계층(Repository/Collection/Dataset/File) vs DCAT 3계층(Catalog/Dataset/Distribution). Repository ⊃ Catalog 관계","concept_tag(structure.dataset) 일치 + 기존 equivalent_terms='dcat:Catalog (loose)' 명시","Phase C에서 Catalog 외 prov:Bundle 또는 schema:DataCatalog와의 multi-mapping 검토 가능. SHACL hasCollection 관계로 Collection 계층 연결 필요"
TTA-0976-002,리포지터리 URL,repository,M,dcat:landingPage,sh:datatype xsd:anyURI; sh:minCount 1; sh:maxCount 1,ttaap:RepositoryUrl → dcat:landingPage,NA,NA,NA,NA,primary,high,(none),"DCMI/DCAT cross-ref 보강 자산 + re3data:repositoryURL(INV-6104) 직접 출처",
TTA-0976-003,리포지터리 식별자,repository,M,dcterms:identifier,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Repository_Identifier → dcterms:identifier,NA,NA,NA,NA,primary,high,(none),"TTA equivalent_terms='dcterms:identifier, schema:identifier' + re3data:repositoryIdentifier(INV-6105) 직접 출처. 표준의 DCMI 명시 참조 (line 1273-1280)",
TTA-0976-004,식별자 유형,repository,M,datacite:identifierType,sh:in (IdentifierType CV: ARK/DOI/Handle/ISBN/etc.); sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Repository_IdentifierType → datacite:identifierType,NA,NA,NA,NA,primary,high,"TTA 통제어 CV-070~088은 DataCite relatedIdentifierType의 부분집합 (UCI는 한국 추가)","TTA 표준 (line 1286)이 'IdentifierType' 통제어를 부록 II-1에 정의하면서 DataCite-Property (ID 1.1) 직접 인용. enumerations.csv 19개 값 모두 DataCite 매핑 가능","Phase C에서 sh:in 제약에 19개 enum 모두 명시 필요 (UCI 포함)"
TTA-0976-005,리포지터리 이름,repository,M,dcterms:title,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:RepositoryName → dcterms:title,NA,NA,NA,NA,primary,high,"TTA는 'RepositoryName' 레이블 사용 (Title이 아님). 의미는 동일","DCMI 직접 참조 + re3data:repositoryName(INV-6102) 직접 출처. 표준 line 1303 'DCMI 참조: dc:title' 명시",
TTA-0976-006,리포지터리 이름 유형,repository,O,datacite:titleType,sh:in (TitleType CV: AlternativeTitle/Subtitle/TranslatedTitle/Other); sh:datatype xsd:string; sh:maxCount 1,ttaap:RepositoryNameType → datacite:titleType,NA,NA,NA,NA,secondary,medium,"DCMI에 title-type 직접 대응 없음. DataCite TitleType이 가장 가까움","TTA TitleType 통제어 (CV-106~109)가 DataCite TitleType에서 직접 인용. 표준 line 1315 'DataCite-Property (ID 3.1)' 참조","Phase C: dcterms:alternative로 우회 표현도 가능 (Subtitle 등). 검토 필요"
TTA-0976-007,리포지터리 유형,repository,M,dcterms:type,sh:in (RepositoryType CV: disciplinary/governmental/institutional/multidisciplinary/project-related/other); sh:minCount 1; sh:maxCount 1,ttaap:Repository_Type → dcterms:type,NA,NA,NA,NA,primary,high,(none),"DCMI 직접 참조 + re3data:type(INV-6109) 통제어 6개 값. 표준 line 1327 'DCMI 참조: dc:type' 명시",
TTA-0976-008,리포지터리 언어,repository,M,dcterms:language,sh:datatype xsd:string; sh:pattern '^[a-z]{3}$' (ISO 639-3 alpha-3); sh:minCount 1; sh:maxCount 1,ttaap:RepositoryLanguage → dcterms:language,NA,NA,NA,NA,primary,high,"TTA는 ISO 639-3 alpha-3 (kor/eng/deu) 사용. DCAT는 BCP 47 (ko/en/de) 권장 — 변환 필요","DCMI 직접 매핑 + ISO 639-3(INV-6303) 직접 참조","[CHECK] PG606에 BCP 47 통일 권고 가능 (alpha-3 → BCP 47)"
TTA-0976-009,주제 (R),repository,M,dcterms:subject,sh:NodeShape (Class container); sh:property [SubjectScheme/ID/Name],ttaap:Repository_Subject → dcterms:subject (구조 변환 필요),NA,NA,NA,NA,secondary,medium,"TTA Subject는 Class (SubjectScheme/ID/Name 하위 포함). dcterms:subject는 단일 Property. 1:N 구조 변환 필요","concept_tag(identification.keyword) 일치 + 표준 line 1363 'DCMI 참조: dc:subject' 명시","Phase C: 구조 변환은 SKOS Concept으로 표현. dcterms:subject → skos:Concept 패턴"
TTA-0976-010,주제 체계 (R),repository,R,re3data:subjectScheme,sh:datatype xsd:string; sh:minCount 0; (no maxCount),ttaap:Repository_SubjectScheme → re3data:subjectScheme,NA,NA,NA,NA,primary,high,(none),"TTA 표준 line 1382 're3data.org property (ID 13)' 직접 참조. re3data:subjectScheme(INV-6112) 직접 출처","DCMI에 'subject scheme' 직접 대응 없음 — re3data 어휘 사용이 자연스러움"
